LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC000095,NONHSAG000361,NONHSAT000885,1,rs1057079,Obesity with early age of onset (age >2)
LSLNC000095,NONHSAG000361,NONHSAT000885,1,rs2791643,Obesity with early age of onset (age >2)
LSLNC000096,NONHSAG000361,NONHSAT000886,1,rs1057079,Obesity with early age of onset (age >2)
LSLNC000096,NONHSAG000361,NONHSAT000886,1,rs2791643,Obesity with early age of onset (age >2)
LSLNC000111,NONHSAG000444,NONHSAT001057,1,rs59905655,Obesity-related traits
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs1036066,Obesity (body mass index (BMI))
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs2039154,Obesity (body mass index (BMI))
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs2116047,Obesity (body mass index (BMI))
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs2820500,Obesity (body mass index (BMI))
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs919540,Obesity (body mass index (BMI))
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs1036066,Obesity (body mass index (BMI))
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs2039154,Obesity (body mass index (BMI))
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs2116047,Obesity (body mass index (BMI))
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs2820500,Obesity (body mass index (BMI))
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs919540,Obesity (body mass index (BMI))
LSLNC000967,NONHSAG004038,NONHSAT008966,1,rs17413714,Obesity (body mass index (BMI))
LSLNC000969,NONHSAG004038,NONHSAT008968,1,rs17413714,Obesity (body mass index (BMI))
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs13388020,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs13388020,Obesity (body mass index (BMI))
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs6545841,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs1579672,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs1595612,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs1837311,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs1982200,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs2384080,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs4146915,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs4384733,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs6749526,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs963948,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs981051,Obesity with early age of onset (age >2)
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs981052,Obesity with early age of onset (age >2)
